Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
4971,Samurai Warriors Chronicles,3DS,2011.0,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39
6091,Power Pro Kun Pocket 11,DS,2008.0,Sports,Konami Digital Entertainment,0.0,0.0,0.29,0.0,0.29
1779,Dragon Quest I & II,SNES,1993.0,Role-Playing,Enix Corporation,0.0,0.0,1.15,0.0,1.15
8004,Pure Futbol,X360,2010.0,Sports,Ubisoft,0.08,0.09,0.0,0.02,0.18
13270,Venus & Braves: Majo to Megami to Horobi no Yogen,PSP,2011.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05
6292,Dave Mirra Freestyle BMX: Maximum Remix,PS,2001.0,Sports,Acclaim Entertainment,0.15,0.1,0.0,0.02,0.27
10142,MLB Power Pros,PS2,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11
3526,Madden NFL 06,GC,2005.0,Sports,Electronic Arts,0.44,0.11,0.0,0.02,0.57
11583,Assassin's Creed Chronicles,PS4,2016.0,Action,Ubisoft,0.01,0.05,0.01,0.01,0.08
14090,FunkMaster Flex's Digital Hitz Factory,PS2,2003.0,Misc,Jester Interactive,0.02,0.01,0.0,0.0,0.04
3387,London 2012: The Official Video Game of the Olympic Games,X360,2012.0,Sports,Sega,0.07,0.46,0.0,0.07,0.59
2970,Frozen: Olaf's Quest,DS,2013.0,Platform,Disney Interactive Studios,0.28,0.35,0.0,0.06,0.69
4054,Backyard Baseball,PS2,2004.0,Sports,Atari,0.24,0.19,0.0,0.06,0.49
5498,Capcom Classics Collection Reloaded,PSP,2006.0,Misc,Capcom,0.26,0.0,0.03,0.03,0.33
2255,WWE SmackDown vs. Raw 2009,X360,2008.0,Fighting,THQ,0.58,0.26,0.0,0.08,0.92
14030,World in Conflict: Complete Edition,PC,2009.0,Strategy,Ubisoft,0.0,0.03,0.0,0.01,0.04
2275,Homefront,PS3,2011.0,Shooter,THQ,0.32,0.4,0.04,0.15,0.91
14339,Dragon's Dogma Online,PS3,2015.0,Role-Playing,Capcom,0.0,0.0,0.03,0.0,0.03
3771,Conflict: Vietnam,PS2,2004.0,Shooter,SCi,0.26,0.2,0.0,0.07,0.53
11448,ToraDora Portable!,PSP,2009.0,Adventure,Namco Bandai Games,0.0,0.0,0.08,0.0,0.08
10220,Nuclear Strike 64,N64,1999.0,Simulation,THQ,0.09,0.02,0.0,0.0,0.11
7166,Hatsune Miku: Project Mirai 2,3DS,2013.0,Action,Sega,0.0,0.0,0.22,0.0,0.22
13491,Front Mission,DS,2007.0,Strategy,Square Enix,0.01,0.0,0.03,0.0,0.04
7931,Thoroughbred Breeder,SNES,1993.0,Simulation,Hect,0.0,0.0,0.19,0.0,0.19
